标题,来源,概要,内容,链接
【眼界】香港展出的纸制大熊猫,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,6月10日，香港大屿山木鱼峰天坛大佛前展出法国艺术家保罗·葛兰金创作的1600只纸制大熊猫。这一展览由艺术家保罗·葛兰金和世界自然基金会联合发起，以快闪的方式在香港的十多个景点展出，1600只纸制熊猫象征着目前世界仅剩的野生大熊猫，以此呼吁公众保护濒危动物。（图/Bobby Yip）, ,http://www.nfpeople.com/article/2374
图片故事 | 蒙古国的新黄金时代,稿源：南方人物周刊  |  作者： 图  Serge Sibert / Cosmos / DragonImage  文  Erik Ba  日期： 2018-01-03,蒙古国尚未成为一个收入稳定的国家，大部分经济来源还取决于矿石的市场行情，而后者显然受其他国家操控,"在蒙古国，时尚潮流和模特的容貌一同飞速发展着，仅仅用了几年的时间，她们的平均身高就增加了二十多厘米，以前吃羊肉、喝马奶的矮壮的姑娘，变成了吃着蔬菜水果节食减肥的纤细高挑的女郎。她们出现在各种巨大的广告画中，铺天盖地占满了街头……最新的女性周刊《Updown》尽管售价高达10欧元，依然刚一上市便哄抢一空。新时代的蒙古国从不缺消费者。在2005年前后，该国就以飞快的速度跻身新兴发展中国家的行列。根据世界银行2011年的统计，它的经济增长率为17.3%，位列世界第三位，仅次于澳门和卡塔尔。首都乌兰巴托坐拥着150万居民（占全国总人口的一半），四座圣山将其环绕（据传说，圣山诞育了这座城市）。市中心是一个永不停歇的工厂，高档酒店和办公大楼等建筑此起彼伏。很快，105米高的蓝色弯月形的“蓝天大楼”将被新的摩天大厦所取代。而仅仅在20年前，蒙古国的后苏联经济还处在土崩瓦解的状态，前途一片黯淡。蜕变来源于蒙古国地下所蕴藏的巨大财富。金矿、铜矿、煤炭、铀、稀土……更不要说还有无数正在测量的钻石矿和油田。国家已经发放了3000张开采许可证，煤炭占到了出口总额的85%，完全可称为草原上的阿联酋。首都乌兰巴托只用了5年的时间就实现了经济和社会的闪电般的飞跃。噶尔宾戈壁距离中蒙边境80公里，是一片长满低矮灌木的暗黄色世界。奥于-托尔哥（蒙语里意为“青绿色的丘陵”）矿就位于此。这里坐拥着地球上最大的金矿和铜矿，人们说它的矿藏足够使用一个世纪。因为没有正式的加工工厂——大部分工厂处于试运转期，成吨的矿石堆在废石堆上，在夕阳余晖的照射下散发着青绿色的光芒。与生产状况恰恰相反，这里已经拥有了一家可以接纳9000名员工的餐厅、一个疗养所、两家银行、一个小型超市、一些运动场和一个酒吧。酒吧对于提高工人们的士气来说是必不可少的设施，他们去那里消除工作的疲劳，排遣孤独与寂寞。只有中国工人才远离这些娱乐场所。在开采出第一批矿藏之前，需要在地下挖掘10年的时间、建立一条120米长的高压线、建造卡车运输的公路。这种公路每公里便耗资上百万美元。运送矿石的卡车一般载重200吨，它们穿越草原，以最快的速度抵达中国边境。只要开采出一口矿井，便可保证接下来25年的生产，上千万美元的投资就可以换回不错的收益。真正操控这个煤矿的是工业巨头澳大利亚力拓公司，它拥有66%的股份，蒙古国控制剩余的股份。另外一家外企——法国国有核能工业公司阿海珐已经做好了充分的准备，打算几个月后开始在杜兰-乌尔煤矿（蒙语中“炎热的山脉”之意）开采铀。在一些政治、经济的决策者中间，已经有部分人开始担心矿产收益带来的经济泡沫。这种经济泡沫在蒙古国已初见端倪。因为蒙古国尚未成为一个收入稳定的国家，大部分经济来源还取决于矿石的市场行情，而后者显然受其他国家操控。比如石油，90%的石油都被俄罗斯收购。理想的黄金乐土还有待发现：有一半的地下资源尚不为人所知。蒙古社会经历了资本主义浪潮的洗礼，并且深受其影响：以前居民都是养殖者，所拥有的不过是“牲畜资本”，贫穷或者富有完全是由阴晴不定的天气决定的。而如今，人均国民生产总值达到了5000美元。一个新的特权阶级浮出水面，使首都的奢侈品业、服务业以及媒体业都取得了长足的发展。这些行业正在经历自己的黄金时代。可并不是所有人都对创办企业、积累财富这么积极热情。有些人开始担心贫富差距会逐渐加大，毕竟在这个国家，百分之三十的人口生活在贫困线上。有人抢购马尔绍村3000美元一平米的高档住宅，或居住面积达上千平方米的河畔花园的高尔夫别墅，但与此同时，其他农村地区也开始变得拥挤不堪。铁皮的小屋和木质的小房子不可避免地代替了传统的蒙古包，而曾经灯火辉煌的蒙古包如今则变成了暗淡的避难所，接纳着被目前体制排斥在外的人。这些被排斥的人开始令蒙古国的新贵们感到担忧。现代化进程总不外如此，毋庸置疑的是，这个背负着神秘的历史、坐拥着富饶矿藏的蒙古正在重生。25岁的蒙古模特艾瑞姆赛特赛正在为女性杂志《Uptown》进行封面拍摄, 这本杂志涵盖了时尚以及其他社会板块30岁的图尔有着模特一样的身材，她也意识到了社会的断层。在继父去世之后，她成了该国北部额尔登特铜矿最大的股东，同时也成为了蒙古巨富阶级的一员。目前，她的丈夫在该国的第三大工业企业担任负责人，她则忙于管理自己的奢侈品品牌和慈善事业。“如果什么都不改变，那么很快将会爆发革命。”她说道蒙古国证券交易所主席蒙克廷什戈·D（Munktushig. D）在新建的高尔夫球场上挥杆。高尔夫球场坐落于距首都80公里的特然杰（Terenje）山谷。高尔夫球场非常受新兴富裕阶层的欢迎，他们喜欢在这里度过周末南戈壁省，奥于-托尔哥铜矿（距离乌兰巴托600公里、中国边境80公里）中培养未来挖掘机司机的训练舱。这6公里的丘陵下蕴藏着的3万盎司金子、3000万吨铜和数不清的银子，将由英澳合资公司力拓联合加拿大公司伊万沃荷共同开采前杭爱省位于蒙古国南部，介于草原和戈壁沙滩之间。即使远离乌拉巴托，牧民们也知道如何享受现代化的生活：卫星天线、太阳能甚至智能手机都找到了它们的位置。传统的蒙古民族是群居的游牧民族，但是他们并不排斥现代化的舒适的物质生活。实际上，现代化的生活使他们告别了居无定所的飘摇生活，不再为恶劣的天气而苦恼乌兰巴托，纳兰商店的老板登德威·乌德瓦和他的太太——总经理布尔科特·斯瑞特，他们雇佣了一千多名员工。这个灯火辉煌的商店共有6层，各种国际品牌的服装、艺术品应有尽有。他希望这里的商品“高档典雅，价格适中”乌兰巴托，这家蒙古传统服饰私人公司拥有并管理着首都市中心的一座服装博物馆，同时它为那些富有的客户制造印有蒙古超过21个民族历史图案的衣服。在这里接受培训的20名年轻员工正准备前往巴黎，去参加由联合国教科文总部举办、并有多个国际组织参与的服装游行盛典乌兰巴托，住房的价格一路飞升。为了在城区买房子，居民们不得不大量贷款。在6月份的房产交易会上，一处住宅区的房子卖到了每平方米3000美元乌兰巴托市中心变成了一个巨大的工地，摩天大楼拔地而起。最高的建筑是半月形状的“蓝天大楼”，内设豪华酒店。首都郊区是扎堆的蒙古包。这些昔日的牧民为了逃避艰难的草原生活而选择在这里定居",http://www.nfpeople.com/article/3264
【图片故事】香港陌生人,稿源：南方人物周刊  |  作者： 图/郭浩忠  文/本刊记者 张蕾  日期： 2018-01-03,随机，闪念，或者是未经证实的盲听盲信，人生的偶然决定了他们这趟旅行的目的地,（点击图片可查看图集）去年6月间，这里有一个传说。在尖沙咀工作的人告诉他的朋友，朋友再告诉朋友的朋友：美国人——如果美国还承认他的话——斯诺登出现在重庆大厦，买了一张电话卡。他们关注他，因为他手握世上最强国家的机密，更因为他们与他分享着相同的身份——避难者。没人能百分百肯定，那个神秘人确实出现在重庆大厦，但有关斯诺登的传说还是从这个极度底层又极度国际化的建筑物里，传到土瓜湾，传到深水埗，传到元朗，传到新界，传到避难者不足10平米的铁皮屋。在传说里，他们与斯诺登还分享着抵达这方的理由。他们来到机场，看到最快能离开自己母地的航班，是飞往中国的香港。或者，他们听说这里自由、宽容、国际化，来到这里或许能过上好一点的生活。随机，闪念，或者是未经证实的盲听盲信，人生的偶然决定了他们这趟旅行的目的地。当然，他们在故土遭遇的不幸，使他们的逃亡是个必然。比如身为穆斯林，却爱上基督徒；比如一个有性别的人，做了手术，变得没有性别；比如躲债；比如战乱。他们遭家人追杀，被宗教宣判，为政府所不容，枪炮在他们身后隆隆作响。2013年，香港《东方日报》报道，约有四千名政治难民在等待申请留港的裁决。同年，香港自由党向传媒提供的消息称，香港约有五千多名南亚和非洲裔申请了酷刑声请的政治难民。长期关注避难者题材的香港摄影师郭浩忠认为，避难者的数字，大概在六千上下。这是一个未经预谋的目的地。他们对这里一无所知，不会讲粤语或者英文，能讲英文的则带着浓重的口音，港人听不懂。他们之中，有的得到了难民身份的确认，一小部分人在律师的帮助下，寻到临时的工作。大多数人没有难民身份，即使有也无法谋生糊口。但是，香港没有加入联合国1951年的《关于难民地位的公约》以及在1967年修订的关于难民身份的《难民议定书》，无法从法律上接收他们。他们每个月领取不足以独立支付房租的住房津贴，日子只能搭伙过。他们每周在固定时间去固定地点领取港府派发的食物——以南亚食物为主，有鸡蛋、牛奶、面条、苹果等。有人会将这些食物分作7份，按日取食，吃着吃着，食物开始变质，他们还是会吃下去，直至吃完。周周循环往复。有人吃不惯派发的食物，宁愿花五块十块去买一盆洗衣粉状的粉末，煮出家乡“年糕”的味道。一些避难者形容香港是一座“开放的监狱”。重庆大厦是他们白天社交闲逛的场所，入夜再回到最廉价的居住地。因为旅行者的增多，位处黄金地段的重庆大厦，再不是他们所能承受的价格。受教育程度稍好的人做些最简单的倒买倒卖，差一些的就只能漫无目的地走来走去，咸淡不计地说上几句话，度过一天。他们独自来到这里，多数只与自己的同胞交往。有的在天涯沦落人中找到另一半，结婚（婚约多是口头的，没有法律手续），生子。人丁兴旺一些，领取的津贴也会多出几份子。有人在这里生活了十多年，还没有找到自己与这座城市之间的联系。郭浩忠曾应邀与住在石岗菜园村的穆斯林们共进晚餐。这些外来者眼见耳闻着附近热闹的高铁工程，却不会去谈论。“因为香港怎么说都不是他们的地方，他们的想法是来香港住一段很短的时间就离开，所以对他们来说，香港没有什么东西是值得他们去关注的，包括在他们家附近的工程。”郭说。如果硬要说他们跟本地的互动，踢球、种田、看报纸、去教会，大概是勉强可以数出的社会活动。他们知道什么展览将要莅临本港，“但他们会去看吗？应该不会的。……肯定不会消费，他们会看报纸。”郭浩忠说。对政治生活的参与，他们只是偶尔向政府抗议：住房福利太薄，食物太不相应。他们知道香港人与大陆人有矛盾，对陆客也有几分分辨的本领。他们会跟郭浩忠讨论：大陆人来香港自由行，究竟好不好？香港是他们人生旅途中偶然又必然的一站。郭浩忠能感到避难者们对香港的情感悖论：“有时候很亲，有时候关系就很远。我说很亲，是因为他们在香港生活嘛，他们离不开这个地方。但是他们心里面也是会有距离的，包括（对）香港的环境和香港的人，他们心里还是有距离的。”因为拍摄的缘故，郭浩忠结识了很多“朋友”。但即便是算得上有往来的朋友，也可能突然一天就不见了。是为过客，虚无缥缈，稍停即逝。,http://www.nfpeople.com/article/2619
走进神秘的萨满教,稿源：南方人物周刊  |  作者： 图/ Carolyn Drake  文/本刊记者 梁莹菲、周琪  日期： 2018-01-03,萨满教衍生自“万物有灵论”，因此他们不仅崇拜天神、祖先的灵魂，驯鹿、老虎、柳树等动植物都是崇拜的对象,外蒙北部，象征着永恒的这棵“母亲树”吸引着全世界的信徒们，而树上的蓝色哈达则代表着人们对天堂与和平的向往。树木在萨满眼中是天与地的连结，他们时常通过爬树来达到更高的境界（点击图片可查看图集）在蒙古、俄罗斯、吉尔吉斯斯坦等地，萨满文化的发展是迂回曲折的，既经历了繁盛，又遭受过沉重打压，但时至今日，这种古老的信仰依旧存在，牧民在生病时不去就医而指望萨满能为他消除孽障，脱离游牧生活的城市人也不时向萨满寻求心灵的指导。无神论者认为萨满教荒谬，当地人则认为，它能带给信众的更多是精神上的慰藉，以及一种敬畏自然的谦卑。人们正尝试在萨满教仪式中，与自己的祖祖辈辈、世上的一草一木，进行精神上的“对话”，从中寻得一丝启示。萨满教衍生自“万物有灵论”，因此他们不仅崇拜天神、祖先的灵魂，驯鹿、老虎、柳树等动植物都是崇拜的对象。而在这种非常个人化的宗教里，最神奇的，莫过于“出神”现象——无论预卜生产、祈求丰收，还是祛除疾患，都是从这里开始的。伴随着舞蹈以及鼓或口琴奏出的单一音符，萨满穿着用熟软的皮编织而成的神衣，神衣的前胸、后背有类似武士甲胄的护心镜，以保护自己的魂灵不被精灵鬼怪摄去。裙子上缀有特制的银铃，头上戴着鹿角神帽，脸上挂着一条条灰鼠皮制的面幕，左手抓鼓，右手执鼓鞭，嘴里吟唱古老的调子，不时还发出熊的咆哮声、蛇吐信子的丝丝声。渐渐地，曲调吟唱得更高亢，身体舞动得更狂野，直至浑身抽搐——祖先的灵魂此时便“占领”了，萨满开始用截然不同的腔调对委托者说一些似懂非懂的话，这种状态会维持一段非常短的时间，往往以萨满不支倒地而结束。前苏联的学者一致认为这种现象是一种精神疾病和癫痫症，但也有观点深信这是游牧民族在精神上的自我保护，以释放极端天气、贫乏资源所带来的生存压力。在“出神”过程中，萨满和患者到底都经历了什么？电影《哈达》中的一个片段，就给我们描绘了他们的精神世界——在一片荒芜的雪地上，患者的灵魂正在胡乱冲撞，找不到方向，萨满站在远方，先是一阵沉默的凝视，然后对着患者发出了持续不断的叫喊声，呼唤他回来，不安的灵魂听见了远方的指引，跌跌撞撞地回到萨满跟前。镜头切换到现实，患者在床上猛然张开了眼睛，冒了一身冷汗。精神的力量在这里显得尤其巨大，或许是因为泰加林地带重复单调的乔木景观，冬季漫长而乏味，声色犬马的城市生活还没侵染这个地方，于是在寂静大地上的人们，只能去追求一丝心灵上的热闹，想象深藏万物的灵魂，在黎明到来前四处穿梭。亦或许，借由这股神秘的力量，生命在自救和助人的循环往复间得以拓宽和延伸，远离麻木，不复混沌。,http://www.nfpeople.com/article/2481
眼界 | 美国,稿源：南方人物周刊  |  作者： 图/Brendan McDermid、Elizabeth Shafiroff  日期： 2018-01-03,11月7日，纽约举行世界胡须锦标赛，来自各地的“美髯公”齐聚一堂，展示各自的风采。世界胡须锦标赛最初由德国创办，1991年在德国举行第1届，之后大赛每两年举行一次。比赛规定选手不能用发夹或类似胡须的延伸物进行修饰或构思造型，但可用蜡状物或头发定型剂做造型。,来自叙利亚的Baraa Barazi来自特拉华州纽瓦克的Adam GazdaMJ Johnson展示自己的胡须,http://www.nfpeople.com/article/4850
图片故事 | 排队的中国人,稿源：南方人物周刊  |  作者： 图/吴国方  文/本刊记者 张明萌  实习记者 郑雅丹  日期： 2018-01-03,40年了，队伍一直在排，而排队的内容发生了根本的改变。吴国方用自己的镜头记录了这40年排队的变迁。在他的镜头里，长长的队伍一直没变，可世界早就变得认不出来,2015年1月24日，杭州的“苹果”店开张，大批果粉为买iPhone 6排起了长龙。1975年，在“坚决堵住开后门的不正之风”标语下，大批上海市民拍着队买几分钱一斤的青菜。40年了，队伍一直在排，而排队的内容发生了根本的改变。吴国方用自己的镜头记录了这40年排队的变迁。在他的镜头里，长长的队伍一直没变，可世界早就变得认不出来。第一张排队的照片拍摄于1975年，“文革”后期，邓小平复出工作，针对当时老百姓反映的主要问题进行整顿，吴国方去上海参观学习，那年他才23岁，相机还是从朋友那儿借来的。在上海三角地菜场，上面拉着一条横幅：坚决堵住开后门的不正之风。横幅下面，“马大嫂”们拎着菜篮儿，队伍排得老长。1978年，吴国方拥有了属于自己的第一台相机，开始用业余时间拍摄老百姓的生活。1998年，他在《经济生活报》工作，需要做一组稿子，整理照片时发现自己拍了不少排队的照片，挑了一组做报道，反响不错，于是继续拍摄至今。1975年，上海市民在三角地菜场挂着“坚决堵住开后门的不正之风”标语下排队买菜吴国方印象最深的，是1984年春节前夕，居民在杭州章家桥菜场前的雪中排队买菜的艰辛场面，那时，买什么都得排队。人们为了一斤肉、一块豆腐乃至几盒火柴，不惜熬通宵、赶大早，在寒风中瑟缩，在酷暑下忍耐……还常常是徒劳而返。于是，就有了各种各样的排队“发明”：搬一块砖头、拿一只破篮“顶岗”或挨个在背上用粉笔画圈编号……所有照片里，最壮观的当属1996年购买龙卡，那一年，磁卡收藏热在杭州兴起，人们彻夜排队，队伍老长老长。1984年春节前夕，杭州章家桥菜场前，居民在雪中排队买菜当年排队现象随处可见，吴国方见到了就拍，到了新世纪，新事物层出不穷，信息渠道也很畅通，他就留意报纸、网络，哪里有第一次出现的事情，发售第一只开放式基金、第一次免费派发“腊八粥”，估计会形成热点的，他就特意赶过去拍。“我觉得摄影的最高境界就是记录历史，人家在摆来摆去拍艺术照时，我就有意识地把镜头对准老百姓最日常的生活，对准生动鲜活的时代了，在杭州，抓拍我算是比较早的。”1987年，被称为精神食粮的报纸也要排队购买1997年股市红火时，人们在杭州中河路旁的证券登记中心排队开户1998年，杭州小营巷改造时人们用椅子代人连夜排队办理拆迁手续在拍摄过程中，每次吴国方都尽量找角度设法避免雷同，如果有能够交代问题的环境背景，他一定会想方设法拍进去，“要让人们能够直接感受这个时代的特征以及人的精神面貌，尽量让单调的排队画面更吸引人，引起人们的思考或共鸣。”2003年，李湘在杭州解放路百货商场签售，排队等待签名者无数2015年1月24日，许多“果粉”在杭州平海路新开的“苹果”店前排着长队，购买新上市的“苹果6”手机在吴国方眼中，排队，是生活中一件头疼而又不可避免的事，除非与你无关、没有切身利益，可以超脱在长长的队伍之外，不然，你就要有这一份耐心去等待。,http://www.nfpeople.com/article/5115
眼界 | 印度,稿源：南方人物周刊  |  作者： 图/Mukesh Gupta  日期： 2018-01-03,12月4日，印度查谟，一个小男孩手推着自制的简易滚轮，在烟尘漫天的泥沙路上玩耍。, ,http://www.nfpeople.com/article/6398
眼界 | 土耳其,稿源：南方人物周刊  |  作者： 图/Yavuz Alatan  日期： 2018-01-03,12月19日，土耳其安卡拉，俄罗斯驻土耳其大使卡尔洛夫（Andrey Karlov）躺在凶手阿特林塔斯（Mevlut Mert Altintas）旁边。卡尔洛夫在参加一个艺术展活动时遭枪击，伤重不治，另有三人轻伤。凶手被当场击毙。据悉，枪击者在射击卡尔洛夫后狂呼：“别忘记阿勒颇，别忘记叙利亚。”, ,http://www.nfpeople.com/article/6445
眼界 | 菲律宾,稿源：南方人物周刊  |  作者： 图/Noel Celis  日期： 2018-01-03,马尼拉的奎松市监狱，囚犯拥挤在篮球场和走廊的地上睡觉。兴建于60年前的奎松市监狱原本仅可容纳800名囚犯，现在却关押3800人。这里头的卫生、设备、水源跟食品都是完全不合格的，一间20人的牢房里会挤上160-200名犯人，大家得轮流睡在开阔的露天篮球场、楼梯或床底下。, ,http://www.nfpeople.com/article/5879
【眼界】熊舞,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,12月30日，位于罗马尼亚首都布加勒斯特以北300公里处的科默内什蒂，民众扮作熊在跳熊舞。这是罗马尼亚的传统，人们扮成熊参加传统游行，驱赶恶魔，为新年祈福。,,http://www.nfpeople.com/article/931
