标题,来源,概要,内容,链接
酷品 | 遮阳沙发椅,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,西班牙品牌Vondom出品的FAZ遮阳沙发椅，黑白色调、线条简单，既能遮光又不显昏暗。冰白色的沙发椅内部设置了可遥控的LED灯，即使天黑了也能非常舒服地享受。它采用手感润泽的低分子聚合纤维(LLDPE)，是该公司的专利产品。经过对舒适度和耐受性的反复考验，该材料适用于极端气候环境，在阳光下也能持久常新。, ,http://www.nfpeople.com/article/7019
在路上 | 马塞马拉草原时间,稿源：南方人物周刊  |  作者： 图 许杨  文 叶舒婧  编辑 翁倩  日期： 2018-01-03,小象跟着大象母狮子线条优雅一位曾在肯尼亚支教的朋友，讲起那段日子，提到斑马就两眼放光，“斑马屁股实在太好看了，简直百看不厌！”,小象跟着大象母狮子线条优雅一位曾在肯尼亚支教的朋友，讲起那段日子，提到斑马就两眼放光，“斑马屁股实在太好看了，简直百看不厌！”到底好看到什么程度呢？八九月，正是动物大迁徙的进行时，100万头角马、15万头斑马和35万头瞪羚，从散居南部的塞伦盖蒂草原开始，奔向水源和青草充足的马赛马拉。它们越过山麓，渡过鳄鱼虎视眈眈的马拉河，近千公里的长途跋涉危机四伏。我们住在专门的酒店区域，房间是一栋栋独立的圆形小木屋，除了没有WiFi和电视，具备一切现代化设施。据说，曾有位设计师，为了建造一座完美融于周围环境又能与动物和谐相处的酒店，在马赛马拉住了整整10年，选址考察，终于发现大岩石上一处得天独厚之地，汽车开出去几分钟再回头，酒店就仿佛蒸发在森林中，只有这样，才不会打扰那些敏感的生灵们。一大早，司机兼导游Jerry大叔就带我们坐上了顶棚可以打开的四驱吉普车，驶入国家公园。颠簸的泥路两侧，最先出现的是悠然自得地吃草的斑马，它们散漫却又行动一致，像自然的孩子，只跟水而来跟风而去。几匹小斑马撅起骄傲的屁股，黑白条纹的曲线优雅，透着金色的光泽。再往深处走，看到在荆棘中跳跃的羚羊和麋鹿；懒洋洋趴着不动的野牛；排成一列不紧不慢地移动的角马大军；灰冠鹤像鸟类标本般单腿立着；小象跟在大象后面，艰难地涉过浑浊的泥水；河马扎堆躺在马拉河中央的小洲上，歪着头仿佛集体中暑倒地。Jerry拿起对讲机说了几句，调头就加速朝一个方向驶去。所有的吉普车都像是听到了号召，从四面八方涌来，司机们通过对讲机互相交换动物的位置情报——看来是发现狮子或豹了，而这，就是现代版的safari——狩猎旅行。果然，一头猎豹被二十多台车团团围住，吃着刚捕获的羚羊，满嘴鲜血。像《动物世界》那样，只是这回没有隔着虚幻的电视屏幕，自然法则在眼前铺开。这种观看又显得有些可笑，它们不同于被关在笼子里的动物，是可以在草原上自由奔驰的，反倒是我们，躲在会移动的大铁皮箱子里，被小生灵们纯洁无瑕的目光注视。思虑般的目光聚焦于一处，它们敏锐警觉，又坚毅平和，看似无目的性地漫游，又有目的明确的迁徙方向，如《走出非洲》所说，“再也没有一种家禽能像野生动物那样静如处子了。开化的人们已经不再甘于静谧，他们只有向野生动物学习，才能补上这个空白。”   来到马赛马拉，除了感同身受那份自由，更是来享受宁静的，尤其在因为埃博拉的恐慌而游客大减的这个夏天，没有什么比离开东海岸的酷暑、吹一吹草原荒凉的冷风更好的事了。不远处，几只秃鹰围在死去的角马尸体上，草丛中散落着野牛极具艺术造型的风化头骨，死在路边已久的斑马肉被掏空，只剩下晒干的美丽斑纹皮，搭在空荡荡的骨架上。夕阳挂在长颈鹿绵长的脖子上，金合欢树兀立在草原中间，四周空无一物，美得凄丽动人。Jerry指着远方说，“翻过那座山，就到坦桑尼亚边境了。动物真好，不需要签证，什么时候都可以自由来去。”在马赛马拉，除了自由，更能感受宁静河马扎堆躺在马拉河中央的小洲上马赛人TIPS拼团篇●如果出行时间赶上八九月份的旅游旺季，最好在国内找好旅伴（5至6人），再通过网络联系当地旅行社。到了内罗毕也可以临时拼团，一般的旅舍或酒店都有safari项目，根据住宿条件的不同，马赛马拉国家公园3天的行程费用300到600美元不等。装备篇●摄影爱好者一定要带上长焦镜头。●马赛马拉昼夜温差大，八九月，白天需穿上轻便防虫的薄外套、戴上遮阳帽；晚上则需要厚外套。野外风尘大，最好带一条能当披肩防晒、又可以保暖防尘的大围巾。安全篇●回酒店后不要随意外出走动，毕竟动物们可以四处活动，酒店虽离保护区有一定距离，但不能保证它们不会进入这个区域。遇到大型野生动物，尤其在夜间，请尽量保持安静，不要用带闪光灯的相机对着它们拍照。,http://www.nfpeople.com/article/3122
酷品 | 饭勺音箱,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,Infinium是印度设计师Jayneel Shah的作品，从外观上看，它特别像平时吃饭的勺子，根据大小依次叠加，但细看可以发现，设计师保留了传统音箱的设计结构，同时改变了控制方式，在最上端添加了智能触控，只需轻轻滑动，便可以进行常规的播放、音量调节、暂停等操作，另外轻拍和长按还可以切换到收音机模式。, ,http://www.nfpeople.com/article/6322
酷品 | 可拍照潜水镜,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,Snap公司近日推出一款名为Seaseeker的外设，戴上之后可以潜水。它的防水深度最深达 45.72 米，可满足绝大多数人的潜水需求，还可在水下一键拍摄照片及10秒短视频。, ,http://www.nfpeople.com/article/7180
酷品 | 一分为三的音箱,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,泰国设计师Rom Khampanya设计了这款名为Classictone的音箱。音箱一分为三，你可以交换顺序或旋转它。它由胡桃木制作而成，上端通过草木线连接，目前正在Indiegogo上众筹，早鸟价为140美元（约为人民币907元）。, ,http://www.nfpeople.com/article/5414
酷品 | 无间双人椅,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,两人同坐一张长椅聊天时，说起话来要扭着脖子对视，实在有点辛苦。德国设计师Clara Schweers为解决这一困惑，设计了名为Saitens的两座椅子。Saitens的灵感来源是达芬奇的一幅手稿，阳光照射在抛物面反射镜上，光线交错形成的抛物面让设计师看到了生机，因此这把椅子以一条细钢管为轮廓，椅面用高强度的鱼线交替编织而成，看起来像一张大渔网。, ,http://www.nfpeople.com/article/5969
在路上 | 沙漠谍影,稿源：南方人物周刊  |  作者： 文  沉白白  日期： 2018-01-03,所有的冒险故事，都需要极大的精神力量来支撑,TIPS   1．摩洛哥已开发成熟的撒哈拉沙漠商业旅行，每年10月至次年4月都适合前往，从马拉喀什出发，有众多2至4日游行程可以选择。另有多家探险公司运营个性化的沙漠穿越及徒步旅行，行程可纵贯西撒哈拉，长达15天。2.沙漠昼夜温差极大，需要备足防风保暖的衣物。参与骑骆驼进沙漠的团需尽量精简行李，以背包为宜，避免携带贵重物品，大件行李可寄存在马拉喀什。夜宿沙漠时饮水及食物条件有限，建议自带。且因帐篷营地没有独立空间，为安全考虑，女性建议结伴而行。3. 2-4日沙漠游行李清单：冲锋衣裤、睡袋，羽绒服、手套、耳罩（冬季），高帮登山鞋，高筒袜，防风防尘口罩，帽子或头巾，护目镜，围巾，轻质背包，饮用水、巧克力、饼干及罐头食品（每日可在城镇购买），强光手电筒，地图或手机离线地图、指南针，笔记本及铅笔，防风打火机，手机及充电宝（途中可能无电源），便携三脚架及相机，GoPro，常用药品，纸巾及湿纸巾（大量），漱口水、洗手啫喱、酒精棉阿特拉斯群山之中的阿伊特本哈杜杜古城汽车天不亮便从摩洛哥中部城市马拉喀什出发。一路向东盘旋而上，在阿特拉斯山区蜿蜒行驶。大西洋、地中海暖湿的风被这群据守北非西北海岸的狭长山脉阻挡，为山脉北麓卡萨布兰卡、丹吉尔、阿尔及尔这样的城市带去珍贵的降水，也带去繁荣。山脉以南，我们此行的目的地，则是另一个截然不同的世界。从阿尔及利亚西部，直到红海边缘，都属于这个星球上最大的沙漠，撒哈拉。2月的黄昏，地表残余的热气快要被用尽。柏柏尔向导赤脚走在前面，为我们的驼队探路。这是摩洛哥和阿尔及利亚边境一片小而美丽的沙漠，作为旅游目的地而出名的Merzouga。因为被交错的山脉半环绕，它已经比百公里开外的流沙海洋温柔安全很多。再加上坐拥观日出日落的良好视线，成为大多数普通人一窥撒哈拉真容的小窗口。越往深处去，气温渐低风沙渐猛。我们学着撒哈拉威人用长长的围巾缠了头发脸颊，只露出一双眼睛。日落时分，驼队在巨大沙丘下停驻，我们手脚并用向上攀了十几米，看夕阳将浑黄的地平线染上金红，然后再连滚带爬地从沙丘顶上冲下来，回到骆驼背上。此时的沙漠，在暮色掩护下露出了本色：无孔不入的风和沙，透心彻骨的寒气和茫然四顾不辨东南西北的恐惧，多少抹杀了出发前对撒哈拉的浪漫想象。至此我完全忘了三毛笔下的西撒哈拉，明白过来太严酷的自然环境里，的确更适合生长冒险传奇而非罗曼史。尽管柏柏尔人、撒哈拉威人和从阿拉伯半岛来的贝都因人早在公元六七世纪即开启了他们的沙漠商路，“西方文明世界”对于撒哈拉的探索却直到19世纪才试探性地展开。背风沙丘下的帐篷里，残余的两厘米蜡烛插在塑料瓶里，发出衰弱的光。翻开艾玛殊1934年的著作《孤身瀚海》（Alone in the Desert），跳出来的第一句就是“我将独自在此处驻扎3天，离我最近的一个有人出没的地方，在500公里外。”照片上他穿着短裤，坐在柏柏尔式的帐篷前，戴一顶窄檐圆帽。这顶帽子在后来间谍行动留下的照片中也出现过，彼时他和两位间谍一起在大沙海（Grand Sand Sea）扎营，不远处有一辆德国缴获的美制福特四轮驱动汽车。艾玛殊开着这辆车在没有卫星与导航、没有路的情况下，取道先前发现的绿洲，避开空中与陆上巡逻，向南绕过欧韦纳特山，再折返而上，进入埃及。这一条2000公里的无人之路他们没有后备支援，隆美尔亲授的重任和3个人在绝境中的性命，都押宝在艾玛殊对沙漠的精确了解上。在Mergouga的骆驼毡子帐篷里半梦半醒地捱了一夜，梦中交替出现星光、战火和赤色的戈壁。天不亮爬起来，口鼻都被灌进细碎的沙，头发也未能幸免。喝一口快结成冰的水，再次回到骆驼背上，在渐渐泛红的天光中，踏上回程的路。想着前方的热水澡与手机信号，一颗心竟然雀跃起来，立刻把昨晚的夜读与梦抛至脑后。如此说来，所有的冒险故事，都需要极大的精神力量来支撑，不论是对知识的向往、对财富的渴求、对爱情的忠贞还是对祖国与信仰的效忠。收获的零星一些“史诗般的图景”——无论撒哈拉的日出，又或是躺在沙漠里看到的无比壮丽的星空——都只得作相册里的私宠。沙漠中的骆驼,http://www.nfpeople.com/article/4867
酷品 | 监听你的每一次咀嚼,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,我们已经很熟悉智能穿戴设备的常规功能了，BitBite则从另一个角度让你的生活更健康——改变你的饮食习惯。由铝和塑料制成的BitBite可以像戴耳机般塞入耳内，内置麦克风和感应元件将捕捉用户每一次咀嚼的声音。通过分析这些进食数据，BitBite会及时把对饮食习惯的建议反馈给用户。通过蓝牙连接的 App也将分析用户所吃食物和所摄取营养的数据，为制定更完善的饮食计划提供参考。售价：109美元（约合人民币670元）。, ,http://www.nfpeople.com/article/3272
酷品 | 灯管时钟,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,它带有灯管，乍一看非常像灯，但却不是灯。这是澳大利亚设计师Duncan Hellmers的作品，名为Blub Keo，实际是一款钟表，用辉光管显示不同的数字。它利用mini USB充电，能切换到睡眠模式和背光模式，并可通过配套的遥控器进行远程控制及显示温度。, ,http://www.nfpeople.com/article/6375
酷品 | 涂鸦腕表,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,瑞驰·迈迪腕表的新作、陀飞轮腕表 RM 68-01，是艺术家Cyril Phan的设计，他在法国、越南、刚果、香港和瓜德罗普岛等多个地区生活和工作，多元化的生活也造就了他多彩多姿的艺术风格。喷绘工作进行了一年，每次喷涂都必须保证涂料不粘连零件，且机械部件可以平衡和正常运动，表面像极了涂鸦现场，很有艺术感。, ,http://www.nfpeople.com/article/5818
酷品 | 保时捷 联名阿迪达斯,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,跑车+鞋子会迸发出什么火花？它的轮廓设计参考了保时捷911跑车，并且利用了袋鼠皮来提升每次与足球接触的感觉。腹侧部分镶有钉子，如同保时捷超跑的牵引力。鞋底沿用了梅西专属球鞋MESSI15.1的鞋底，确保了卓越的抓地力。全球限量1500双，每双售价为265欧元。, ,http://www.nfpeople.com/article/5375
酷品 | 定向扬声器,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,法国Akoustic Arts团队设计的蜂巢定向扬声器“A”采用超声波技术，类似手电筒光束的声音只会传给固定范围内的人，其他人不会听到。“A”可与手机、电脑等电子设备连接，可在办公室或公共场所使用。, ,http://www.nfpeople.com/article/5340
酷品 | 外星人手表,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,瑞士独立表厂MB&F打造出了一款HM6 Alien Nation。表壳为全透明蓝水晶，里面坐着 6个由白金手工雕刻的外星小人。这一奇特形状参考了1979年一部名为“太空突击队”（Capitaine Flam）的日本动画片中的太空战舰。光是打磨这几块蓝宝石水晶表壳就需要510小时， 机芯则由 496 枚零件组成，结构复杂。机芯最上方是一枚装置有可伸缩防护罩的60秒飞行陀飞轮，可分别驱动垂直于机芯的小时和分钟圆顶；调节涡轮则与上链摆陀相连。, ,http://www.nfpeople.com/article/7149
酷品 | TIWAL 3.2,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,为了让水上运动爱好者体会到滑翔和速度的激情，设计师Marion Excoffon设计了一款高性能充气小帆船TIWAL 3.2 。充气式，仅重50公斤，折叠结构的设计使帆船可在20分钟内完成拆卸和组装。长3.2米的帆船，收纳起来只需两个包就可放置，摆放在汽车的后备箱绰绰有余。, ,http://www.nfpeople.com/article/2817
酷品 | 一平米训练毯,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,美国圣地亚哥近日开始流行一款名为BodyBoss2.0的训练毯，它有10个镂空，将配套拉力绳钩在上面，不同组合便可以模仿不同运动，训练身体的不同部位。特别的是，它占地不足一平米，还能折叠放在床下。众筹中，售价为199美元（约合人民币1370元）。, ,http://www.nfpeople.com/article/6917
幸福课 | 不要对别人说“你必须”,稿源：南方人物周刊  |  作者： 文 游识猷  日期： 2018-01-03,相爱容易相处难。志趣相投、激素涌动，就能催生出爱情亲情友情。但相处，永远涉及自由意志间的拥挤碰撞踩踏，都身不由己，满腹怨气，觉得自己没错，做错也是环境所迫。都觉得对方本该如何、必须如何……,相爱容易相处难。志趣相投、激素涌动，就能催生出爱情亲情友情。但相处，永远涉及自由意志间的拥挤碰撞踩踏，都身不由己，满腹怨气，觉得自己没错，做错也是环境所迫。都觉得对方本该如何、必须如何……得了吧，哪来这么多“必须”、“应当”、“不得不”？就算双生子，也有一个向左一个向右的时候。一人踩过荆棘、一人掉过湖沼，痛点不同，世界观不同，凭什么一个人要无条件同意另一个人呢？ 他人必须（must）公平可亲，爱我认可我；世界应当（should）绕着我转，令我舒服适意；而我自己，许多事情我不得不做（have-to）——心理学家艾伯特·埃利斯（Albert Ellis）创造了一个术语来形容这些信念，“必当化”（musturbation）。别人必须待我好，世界必须待我好，我必须完美高尚天天向上，否则，我就怨天尤人恨自己。是吗？这些信念合理吗？至少不会比“存在即合理”更合理吧。当我认定“太阳应当从西边出来”，太阳并不会理我。重复一万遍“我应当可以跑个马拉松”，现实也会输给肉体的软弱。那么，“别人就该按照合我心意的方式来待我”这种想法，也一样如梦幻泡影，是幻觉、是误会。而这种误会，让人争执不休。差异普遍存在，但差异不会自动生出纷争，要先经过脑中的“应当”才会转变。我爱萝卜，你爱白菜，这叫“差异”，但如果我认定你“应当”喜欢萝卜，诧异于“怎么有人竟喜欢白菜”，并希望“纠正你对萝卜白菜的错误看法”——这就是纷争了。究其起源，只不过有人认定“爱萝卜天经地义无上正确理应如此”。当脑中出现“应当”、“就该”、“必须”、“不得不”时，把这些词统统替换成“我希望”、“我偏好”、“我倾向于”。人皆有喜好意愿，却不该有那么多条条框框。允许自己有偏好，也允许他人有偏好。如果有人对你说，你应当、就该、必须如何，不要相信。 这并不是说每个人都要将对别人的看法吞进肚里。你大可坦率表达——不能强制别人按你的心意行事，但你绝对可以影响别人。反之亦然。允许自己影响别人，也允许别人影响你。别人可以受你影响，也可以坚持故我，不论哪种结局，不要为此发怒。自己可以受人影响，也可以坚持故我，不论哪种结局，不要为此内疚。容忍度小测试你觉得如下陈述是否符合实情？1-5题计分方式几乎总是不符 比较不符 说不太准 比较相符 几乎总是相符5 4 3 2 1人们对我相当苛刻。我常觉得“被剩下”，好像人们不希望我待在他们身边。很多人令人无法忍受。如今人们的道德水平太低了。大多数人相当自命不凡，从不正视自己的缺点。6-10题计分方式几乎总是不符 比较不符 说不太准 比较相符 几乎总是相符1 2 3 4 5每个人都希望成为好人。即使一个人的价值观与我不同，我也能和对方相处愉快。其他人会尊重我对事情的看法。人们挺喜欢我的。大部分人能了解我对事情的感受。计算你的总分。一般人平均得分为37.8分，如果你的总分低于此，说明你较难容忍他人，也不觉得他人宽容自己，试着少些“理应如此”，多些“希望影响”吧。,http://www.nfpeople.com/article/6183
酷品 | 七公斤的浴缸,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,德国设计师 Carina Deuschl设计的可携带浴缸，七公斤重，打开前是8.5毫米厚的椭圆形框架，白色布料和水管都折叠在框架中，方便跟车携带。拆开后就成了一个简易浴缸，接上水便可使用。, ,http://www.nfpeople.com/article/6753
